年度,賞,名称,URL,受賞者,賞提供者,データソース
2012,最優秀賞,データシティ鯖江,http://data.city.sabae.lg.jp/,福井県鯖江市,オープンデータ流通推進コンソーシアム,http://www.vled.or.jp/odpc-archive/event/2013/000076/
2012,優秀賞,2013 International Open Data Day,http://odhd13.okfn.jp/,OKFJ及び全国の開催地域,オープンデータ流通推進コンソーシアム,http://www.vled.or.jp/odpc-archive/event/2013/000076/
2012,優秀賞,図書館横断検索サービス「カーリル」,https://calil.jp/,カーリル,オープンデータ流通推進コンソーシアム,http://www.vled.or.jp/odpc-archive/event/2013/000076/
2012,優秀賞,Where Does My Money Go? の日本語化と横浜市版の作成,http://spending.jp/,,オープンデータ流通推進コンソーシアム,http://www.vled.or.jp/odpc-archive/event/2013/000076/
2012,優秀賞,気象庁の一連の取り組み,http://www.jma.go.jp/jp/yoho/,気象庁,オープンデータ流通推進コンソーシアム,http://www.vled.or.jp/odpc-archive/event/2013/000076/
2012,優秀賞,あおもり映像コンテンツ・プロモーション,http://www.pref.aomori.lg.jp/amcp/,青森県,オープンデータ流通推進コンソーシアム,http://www.vled.or.jp/odpc-archive/event/2013/000076/
2012,優秀賞,LODチャレンジ,http://lodc.jp/,LODチャレンジ,オープンデータ流通推進コンソーシアム,http://www.vled.or.jp/odpc-archive/event/2013/000076/
2012,優秀賞,CKANを用いたデータカタログサイト,https://ckan.org/,,オープンデータ流通推進コンソーシアム,http://www.vled.or.jp/odpc-archive/event/2013/000076/
2012,Google賞,データシティ鯖江,http://data.city.sabae.lg.jp/,福井県鯖江市,Google Japan,http://www.vled.or.jp/odpc-archive/event/2013/000076/
2012,日本IBM賞,2013 International Open Data Day,http://odhd13.okfn.jp/,OKFJ及び全国の開催地域,日本アイ・ビー・エム,http://www.vled.or.jp/odpc-archive/event/2013/000076/
2012,日本マイクロソフト賞,横浜オープンデータソリューション発展委員会の活動,http://yokohamaopendata.jp/,横浜オープンデータソリューション発展委員会,日本マイクロソフト,http://www.vled.or.jp/odpc-archive/event/2013/000076/
2012,国際大学GLOCOM賞,東日本大震災アーカイブほか3件,http://kn.ndl.go.jp/,国立国会図書館,日本大学GLOCOM,http://www.vled.or.jp/odpc-archive/event/2013/000076/
2012,ソフトバンクテレコム賞,エレクトリカル・ジャパン,http://agora.ex.nii.ac.jp/earthquake/201103-eastjapan/energy/electrical-japan/,,ソフトバンクテレコム,http://www.vled.or.jp/odpc-archive/event/2013/000076/
2012,全国地質調査業協会連合会賞,流山市/流山市議会の取組み,http://www.city.nagareyama.chiba.jp/10763/,千葉県流山市,全国地質調査業協会連合会,http://www.vled.or.jp/odpc-archive/event/2013/000076/
2012,Open Knowledge Foundation Japan賞,電脳みやしろ,http://www.koho.or.jp/useful/recommend_website/200312_1.html,埼玉県宮代町,オープン・ナレッジ・ファウンデーション・ジャパン,http://www.vled.or.jp/odpc-archive/event/2013/000076/
2013,最優秀賞,インターナショナルオープンディ 2014,http://odhd14.okfn.jp,OKFJ及び全国の開催地域,オープンデータ流通推進コンソーシアム,http://www.vled.or.jp/odpc-archive/committee/docs/20140313_3_rikatu.pdf
2013,優秀賞,データカタログサイト試行版,http://www.data.go.jp,日本政府(内閣官房 IT総合戦略室),オープンデータ流通推進コンソーシアム,http://www.vled.or.jp/odpc-archive/committee/docs/20140313_3_rikatu.pdf
2013,優秀賞,5374(ゴミナシ),http://www.5374.jp,一般社団法人コード・フォー・カナザワ,オープンデータ流通推進コンソーシアム,http://www.vled.or.jp/odpc-archive/committee/docs/20140313_3_rikatu.pdf
2013,優秀賞,富岳3776景,http://fugaku3776.okfn.jp,静岡県と山梨県,オープンデータ流通推進コンソーシアム,http://www.vled.or.jp/odpc-archive/committee/docs/20140313_3_rikatu.pdf
2013,インディゴ賞,自分で計算してみる日本の予算2013,http://www.thinktonight.co.jp/tt02.html,think tonight Inc.,インディゴ株式会社,http://www.vled.or.jp/odpc-archive/committee/docs/20140313_3_rikatu.pdf
2013,OKFJ賞,5374(ゴミナシ),http://www.5374.jp,一般社団法人コード・フォー・カナザワ,オープン・ナレッジ・ファウンデーション・ジャパン,http://www.vled.or.jp/odpc-archive/committee/docs/20140313_3_rikatu.pdf
2013,国際大学GLOCOM賞,LinkData.org,http://linkdata.org/,理研豊田研究室,国際大学GLOCOM,http://www.vled.or.jp/odpc-archive/committee/docs/20140313_3_rikatu.pdf
2013,jig.jp賞,Code for KOSEN,http://codeforkosen.org/,Code for KOSEN,株式会社jig.jp,http://www.vled.or.jp/odpc-archive/committee/docs/20140313_3_rikatu.pdf
2013,トーマツ賞,アグリノート,http://www.agri-note.jp/,ウォーターセル株式会社,有限責任監査法人トーマツ,http://www.vled.or.jp/odpc-archive/committee/docs/20140313_3_rikatu.pdf
2013,日本IBM賞,ちばレポ,https://chibarepo.secure.force.com/,ちば市民協働レポート実証実験運営事務局 千葉市広聴課,日本アイ・ビー・エム,http://www.vled.or.jp/odpc-archive/committee/docs/20140313_3_rikatu.pdf
2013,日本マイクロソフト賞,Fukuoka Facts,http://facts.city.fukuoka.lg.jp/,福岡市(市長室 広報戦略室 広報戦略課) 製作:COUPS Inc.,日本マイクロソフト株式会社,http://www.vled.or.jp/odpc-archive/committee/docs/20140313_3_rikatu.pdf
2014,最優秀賞,東京メトロ「オープンデータ活用コンテスト」,http://awards.tokyometroapp.jp/,東京地下鉄株式会社,VLED,http://www.vled.or.jp/news/1503/150324_001143.php
2014,日本マイクロソフト賞,東京メトロ「オープンデータ活用コンテスト」,http://awards.tokyometroapp.jp/,東京地下鉄株式会社,日本マイクロソフト,http://www.vled.or.jp/news/1503/150324_001143.php
2014,優秀賞,Code for Japan,http://code4japan.org/,Code for Japan,VLED,http://www.vled.or.jp/news/1503/150324_001143.php
2014,アパハウ賞,GEEO,http://geeo.otani.co/,株式会社おたに,アパハウ,http://www.vled.or.jp/news/1503/150324_001143.php
2014,勝手地方創生賞,株式会社CCLオープンデータ事業,http://cc-lab.co.jp/business/business05.html,株式会社CCL,株式会社jig.jp,http://www.vled.or.jp/news/1503/150324_001143.php
2014,CiP準備会賞,家計簿・会計アプリ「Zaim」,https://zaim.net/,株式会社Zaim,CiP協議会,http://www.vled.or.jp/news/1503/150324_001143.php
2014,日本IBM賞,横浜ユースフォーラム 〜若者が起こす横浜のオープンイノベーション〜,http://www.city.yokohama.lg.jp/seisaku/seisaku/opendata/,横浜市・横浜オープンデータソリューション発展委員会,日本アイ・ビー・エム,http://www.vled.or.jp/news/1503/150324_001143.php
2014,ニューメディアリスク協会賞,病院データグラフィカ,http://archive.fo/xXczt,医療ビッグデータ勉強会,ニューメディアリスク協会,http://www.vled.or.jp/news/1503/150324_001143.php
2014,融合研究所賞,東寺百合文書オープンデータ化,http://hyakugo.kyoto.jp/,京都府立総合資料館,融合研究所,http://www.vled.or.jp/news/1503/150324_001143.php
